#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
190000,190.00000000054317,-206467.38065906474,3689.351305172313,-202778.02935389243,296.1137432194261,0.9972952228632178,335
191000,191.00000000054794,-206427.1272114786,3654.541882515885,-202772.5853289627,293.319878501894,1.0067365505416948,335
192000,192.00000000055272,-206537.53703903302,3810.382345212158,-202727.15469382086,305.82790469320446,1.0173700240728352,335
193000,193.0000000005575,-206225.24622136878,3664.598712986335,-202560.64750838245,294.1270571816129,0.9956037135728595,335
194000,194.00000000056227,-206275.61599460215,3821.1308974297717,-202454.48509717238,306.6906021616957,0.9884095290513502,335
195000,195.00000000056704,-206031.75831477437,3655.740967865102,-202376.01734690927,293.4161191745289,0.9804435435547797,335
196000,196.00000000057182,-206194.12313545455,3823.136793569196,-202370.98634188535,306.8515988695781,0.970588056010959,335
197000,197.0000000005766,-206176.52700445443,3781.885737285018,-202394.6412671694,303.540717449601,0.9821628603572056,335
198000,198.00000000058137,-206190.27389098977,3843.0941475825384,-202347.17974340724,308.45341076354464,0.9813481180148251,335
199000,199.00000000058614,-206469.24658030897,4005.544945643982,-202463.701634665,321.4919939517375,0.999836392842511,335
200000,200.00000000059092,-206334.61592095494,3809.709830322303,-202524.90609063263,305.7739274801571,0.9956522412825725,335
201000,201.0000000005957,-206230.2564338441,3733.474734283518,-202496.78169956058,299.65516627108246,0.9707483617540107,335
202000,202.00000000060047,-206329.24789965095,3777.5540824122727,-202551.69381723867,303.19305130653,0.9932214224710446,335
203000,203.00000000060524,-206311.91158451285,3789.9818423986435,-202521.9297421142,304.19052490689916,1.006495041404169,335
204000,204.00000000061002,-206423.38705420794,3990.8185744672082,-202432.56847974073,320.3100298251227,0.9921365805611081,335
205000,205.0000000006148,-206347.02869494673,3819.165794340428,-202527.8629006063,306.5328795748599,1.010266539604484,335
206000,206.00000000061956,-206389.70029378904,3794.211539655924,-202595.4887541331,304.5300077546784,0.998942244053788,335
207000,207.00000000062434,-206255.94082587742,3740.2621026397683,-202515.67872323765,300.1999322432903,0.9894023382310427,335
208000,208.00000000062911,-206366.8183950328,3807.711178600788,-202559.10721643202,305.6135122218378,0.9761710543566732,335
209000,209.0000000006339,-206255.99327317733,3716.4036311148666,-202539.58964206246,298.2850098825956,0.9837750420617134,335
210000,210.00000000063866,-206307.3085485194,3799.2276206379756,-202508.0809278814,304.93260712595674,1.0042027847452386,335
211000,211.00000000064344,-206243.6379421178,3714.7299009980634,-202528.90804111975,298.1506733965768,0.9835513227074502,335
212000,212.0000000006482,-206187.08321024547,3766.545947700739,-202420.53726254473,302.30951929624786,0.9737406994915524,335
213000,213.000000000653,-206202.32212411793,3777.643811066635,-202424.6783130513,303.200253084165,1.0018994028724135,335
214000,214.00000000065776,-206182.6665082205,3827.4297946669976,-202355.23671355352,307.19616259354035,0.9708222398840898,335
215000,215.00000000066254,-206014.85208853928,3705.2689103223383,-202309.58317821694,297.39131785360496,0.9858771038321106,335
216000,216.0000000006673,-206257.65277817738,3810.5846551335417,-202447.06812304383,305.8441424388556,0.997118835183228,335
217000,217.0000000006721,-206314.01854374542,3837.40001661703,-202476.6185271284,307.99638992299344,0.9996569978576693,335
218000,218.00000000067686,-206301.73880687836,3898.493653796613,-202403.24515308175,312.8998713471597,0.992442093169895,335
219000,219.00000000068164,-206201.61092026698,3816.8436596281826,-202384.7672606388,306.3465010098968,0.9821238060196379,335
220000,220.0000000006864,-206173.154776301,3778.5826349589042,-202394.5721413421,303.27560472025715,0.9914224941730049,335
221000,221.0000000006912,-206185.22760873786,3768.1455848773476,-202417.0820238605,302.43790895420597,0.9928294488384699,335
222000,222.00000000069596,-206193.48169987585,3781.6888077659532,-202411.7928921099,303.5249115443843,0.9986434203362298,335
