#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
184000,683.9999999907375,-210849.34832329978,1676.5711069384124,-209172.77721636137,134.56450882111992,0.9939540198818504,379
185000,684.9999999907138,-210829.59051079978,1658.4855812154128,-209171.10492958437,133.11293311662666,0.9939540198818504,379
186000,685.9999999906902,-210894.08269829978,1660.0858730324544,-209233.99682526733,133.2413753171629,0.9939540198818504,379
187000,686.9999999906665,-210920.49676079978,1645.8057059845887,-209274.6910548152,132.09522430887753,0.9939540198818504,379
188000,687.9999999906429,-210927.22332329978,1631.9313488332555,-209295.29197446653,130.9816443076766,0.9939540198818504,379
189000,688.9999999906192,-210959.98894829978,1642.1420786657836,-209317.846869634,131.80117521747997,0.9939540198818504,379
190000,689.9999999905956,-210951.73113579978,1617.9249625010416,-209333.80617329874,129.85746741511701,0.9939540198818504,379
191000,690.999999990572,-210959.64519829978,1643.267484682321,-209316.37771361746,131.89150225891171,0.9939540198818504,379
192000,691.9999999905483,-210964.43426079978,1617.4132892512716,-209347.0209715485,129.81639963144394,0.9939540198818504,379
193000,692.9999999905247,-211056.96551079978,1641.521844895091,-209415.4436659047,131.75139417785562,0.9939540198818504,379
194000,693.999999990501,-211058.89519829978,1603.600253117038,-209455.29494518274,128.70774136157445,0.9939540198818504,379
195000,694.9999999904774,-211043.07488579978,1552.1519468578044,-209490.92293894198,124.57841094856585,0.9939540198818504,379
196000,695.9999999904537,-211097.81707329978,1541.6014746758156,-209556.21559862397,123.73161172774856,0.9939540198818504,379
197000,696.9999999904301,-211117.83269829978,1528.9160413083155,-209588.91665699147,122.71345681429673,0.9939540198818504,379
198000,697.9999999904064,-211164.17644829978,1577.562838689657,-209586.61360961013,126.61793325925628,0.9939540198818504,379
199000,698.9999999903828,-211106.02019829978,1512.9909934402676,-209593.02920485951,121.43528481464328,0.9939540198818504,379
200000,699.9999999903591,-211192.30926079978,1536.919888930861,-209655.38937186892,123.35585952513296,0.9939540198818504,379
201000,700.9999999903355,-211178.30926079978,1506.2560916794464,-209672.05316912034,120.89472990250577,0.9939540198818504,379
202000,701.9999999903118,-211209.47332329978,1509.9371180655435,-209699.53620523424,121.19017547326195,0.9939540198818504,379
203000,702.9999999902882,-211238.45769829978,1430.2062165967654,-209808.25148170302,114.79083484904984,0.9939540198818504,379
204000,703.9999999902645,-211200.55144829978,1362.9970726168249,-209837.55437568296,109.39651222800467,0.9939540198818504,379
205000,704.9999999902409,-211329.51238579978,1454.2447765280958,-209875.2676092717,116.72021141801237,0.9939540198818504,379
206000,705.9999999902172,-211283.83269829978,1354.639907442499,-209929.19279085728,108.72575163683969,0.9939540198818504,379
207000,706.9999999901936,-211295.34051079978,1299.9046632190002,-209995.43584758078,104.33260587424263,0.9939540198818504,379
208000,707.99999999017,-211312.69207329978,1300.2667590985075,-210012.42531420127,104.36166831840048,0.9939540198818504,379
209000,708.9999999901463,-211316.40301079978,1322.8008959153667,-209993.60211488442,106.17029727539463,0.9939540198818504,379
210000,709.9999999901227,-211330.64519829978,1341.3054742678069,-209989.33972403198,107.65550687171479,0.9939540198818504,379
211000,710.999999990099,-211418.78582329978,1353.7903202096932,-210064.9955030901,108.65756229001742,0.9939540198818504,379
212000,711.9999999900754,-211431.80144829978,1319.1952195838094,-210112.60622871597,105.88089943087974,0.9939540198818504,379
213000,712.9999999900517,-211396.73894829978,1241.0676070358604,-210155.67134126392,99.61024155995906,0.9939540198818504,379
214000,713.9999999900281,-211445.23894829978,1252.7010645410046,-210192.53788375878,100.54396306368328,0.9939540198818504,379
215000,714.9999999900044,-211464.92644829978,1251.6221913117915,-210213.304256988,100.45737082457782,0.9939540198818504,379
216000,715.9999999899808,-211472.52019829978,1244.654283429496,-210227.8659148703,99.8981144364583,0.9939540198818504,379
217000,716.9999999899571,-211485.74676079978,1210.0166241831612,-210275.73013661662,97.11803574852969,0.9939540198818504,379
218000,717.9999999899335,-211512.72332329978,1200.0258898306638,-210312.69743346912,96.31616205802986,0.9939540198818504,379
219000,718.9999999899098,-211489.67644829978,1178.399234772427,-210311.27721352736,94.58036916304808,0.9939540198818504,379
